,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
469,2017.0,Terrence Ross,SF,25.0,ORL,24.0,24.0,748.0,11.1,0.536,0.506,0.101,0.6,9.6,4.9,9.0,2.3,1.4,11.2,18.5,,0.0,0.6,0.6,0.037,,-1.0,-0.3,-1.3,0.1,115.0,267.0,0.431,46.0,135.0,0.341,69.0,132.0,0.523,0.517,23.0,27.0,0.852,4.0,64.0,68.0,43.0,34.0,13.0,35.0,61.0,299.0
470,2017.0,Terry Rozier,PG,22.0,BOS,74.0,0.0,1263.0,10.8,0.466,0.436,0.161,3.6,16.3,10.0,15.2,1.8,0.7,9.7,17.1,,0.0,1.4,1.4,0.053,,-2.5,0.0,-2.5,-0.2,151.0,411.0,0.367,57.0,179.0,0.318,94.0,232.0,0.405,0.437,51.0,66.0,0.773,40.0,187.0,227.0,131.0,45.0,11.0,47.0,69.0,410.0
471,2017.0,Ricky Rubio,PG,26.0,MIN,75.0,75.0,2469.0,16.8,0.539,0.302,0.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,,4.5,1.7,6.1,0.119,,1.7,-1.0,0.8,1.7,261.0,650.0,0.402,60.0,196.0,0.306,201.0,454.0,0.443,0.448,254.0,285.0,0.891,68.0,237.0,305.0,682.0,128.0,10.0,195.0,202.0,836.0
472,2017.0,Damjan Rudez,SF,30.0,ORL,45.0,0.0,314.0,6.3,0.466,0.727,0.0,1.7,7.1,4.3,9.2,1.9,0.3,9.3,13.6,,-0.1,0.2,0.1,0.008,,-2.8,-1.9,-4.7,-0.2,31.0,88.0,0.352,20.0,64.0,0.313,11.0,24.0,0.458,0.466,0.0,0.0,,5.0,20.0,25.0,20.0,12.0,1.0,9.0,31.0,82.0
473,2017.0,Brandon Rush,SG,31.0,MIN,47.0,33.0,1030.0,6.6,0.505,0.61,0.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,,0.1,0.3,0.4,0.019,,-2.0,-0.1,-2.1,0.0,70.0,187.0,0.374,44.0,114.0,0.386,26.0,73.0,0.356,0.492,13.0,18.0,0.722,16.0,83.0,99.0,45.0,22.0,23.0,28.0,42.0,197.0
474,2017.0,D'Angelo Russell,PG,20.0,LAL,63.0,60.0,1811.0,15.3,0.518,0.443,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,,0.3,1.0,1.3,0.034,,1.1,-1.6,-0.5,0.7,351.0,867.0,0.405,135.0,384.0,0.352,216.0,483.0,0.447,0.483,147.0,188.0,0.782,31.0,191.0,222.0,303.0,87.0,16.0,176.0,130.0,984.0
475,2017.0,Domantas Sabonis,PF,20.0,OKC,81.0,66.0,1632.0,6.9,0.469,0.331,0.139,3.0,16.4,9.7,7.2,1.2,1.6,14.0,15.4,,-1.0,1.8,0.7,0.022,,-4.7,-0.1,-4.9,-1.2,192.0,481.0,0.399,51.0,159.0,0.321,141.0,322.0,0.438,0.452,44.0,67.0,0.657,45.0,242.0,287.0,82.0,39.0,32.0,83.0,200.0,479.0
476,2017.0,Larry Sanders,C,28.0,CLE,5.0,0.0,13.0,6.5,0.41,0.0,0.5,26.3,8.2,17.0,0.0,3.8,6.2,29.1,23.6,,0.0,0.0,0.0,-0.029,,-8.7,-0.9,-9.6,0.0,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,2.0,2.0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,5.0,4.0
477,2017.0,Dario Saric,PF,22.0,PHI,81.0,36.0,2129.0,12.8,0.508,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,,-1.2,2.2,1.0,0.023,,-2.0,-0.2,-2.2,-0.1,381.0,927.0,0.411,106.0,341.0,0.311,275.0,586.0,0.469,0.468,172.0,220.0,0.782,112.0,401.0,513.0,182.0,57.0,30.0,183.0,162.0,1040.0
478,2017.0,Tomas Satoransky,SG,25.0,WAS,57.0,3.0,719.0,8.5,0.48,0.253,0.226,3.9,9.1,6.5,16.7,1.8,0.7,19.1,12.1,,0.1,0.5,0.6,0.041,,-2.9,-0.2,-3.1,-0.2,61.0,146.0,0.418,9.0,37.0,0.243,52.0,109.0,0.477,0.449,23.0,33.0,0.697,25.0,58.0,83.0,92.0,26.0,6.0,38.0,60.0,154.0
479,2017.0,Dennis Schroder,PG,23.0,ATL,79.0,78.0,2485.0,16.1,0.533,0.242,0.21,1.9,9.0,5.5,35.5,1.5,0.6,16.3,27.8,,1.2,2.5,3.7,0.071,,0.7,-1.4,-0.7,0.8,548.0,1215.0,0.451,100.0,294.0,0.34,448.0,921.0,0.486,0.492,218.0,255.0,0.855,42.0,206.0,248.0,499.0,74.0,16.0,258.0,149.0,1414.0
480,2017.0,Luis Scola,PF,36.0,BRK,36.0,1.0,461.0,13.9,0.55,0.331,0.245,11.9,20.0,16.0,12.7,1.4,0.7,16.9,18.7,,0.4,0.4,0.8,0.082,,-0.8,-0.4,-1.2,0.1,71.0,151.0,0.47,17.0,50.0,0.34,54.0,101.0,0.535,0.526,25.0,37.0,0.676,51.0,88.0,139.0,37.0,14.0,4.0,34.0,63.0,184.0
481,2017.0,Mike Scott,PF,28.0,ATL,18.0,0.0,195.0,5.9,0.36,0.458,0.136,5.7,15.0,10.4,12.5,1.0,1.3,11.3,15.8,,-0.3,0.2,-0.1,-0.014,,-5.3,-0.1,-5.3,-0.2,17.0,59.0,0.288,4.0,27.0,0.148,13.0,32.0,0.406,0.322,7.0,8.0,0.875,10.0,27.0,37.0,17.0,4.0,3.0,8.0,12.0,45.0
482,2017.0,Thabo Sefolosha,SF,32.0,ATL,62.0,42.0,1596.0,11.9,0.519,0.304,0.19,3.8,14.7,9.3,9.9,3.0,1.7,11.9,13.3,,0.6,2.7,3.3,0.098,,-1.9,3.1,1.2,1.3,174.0,395.0,0.441,41.0,120.0,0.342,133.0,275.0,0.484,0.492,55.0,75.0,0.733,54.0,216.0,270.0,107.0,96.0,31.0,58.0,97.0,444.0
483,2017.0,Wayne Selden,SG,22.0,TOT,14.0,5.0,236.0,6.9,0.525,0.483,0.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3,,-0.1,0.2,0.1,0.017,,-3.4,-1.6,-5.0,-0.2,25.0,58.0,0.431,7.0,28.0,0.25,18.0,30.0,0.6,0.491,14.0,22.0,0.636,1.0,15.0,16.0,13.0,6.0,1.0,12.0,18.0,71.0
484,2017.0,Wayne Selden,SG,22.0,NOP,3.0,3.0,47.0,10.0,0.82,0.875,0.5,0.0,11.3,5.6,3.0,2.1,0.0,23.5,12.0,,0.0,0.0,0.1,0.089,,-0.5,-0.7,-1.2,0.0,5.0,8.0,0.625,4.0,7.0,0.571,1.0,1.0,1.0,0.875,2.0,4.0,0.5,0.0,5.0,5.0,1.0,2.0,0.0,3.0,6.0,16.0
485,2017.0,Wayne Selden,SG,22.0,MEM,11.0,2.0,189.0,6.2,0.475,0.42,0.36,0.6,6.2,3.3,9.9,1.1,0.5,13.4,16.1,,-0.1,0.1,0.0,-0.001,,-4.1,-1.8,-6.0,-0.2,20.0,50.0,0.4,3.0,21.0,0.143,17.0,29.0,0.586,0.43,12.0,18.0,0.667,1.0,10.0,11.0,12.0,4.0,1.0,9.0,12.0,55.0
486,2017.0,Kevin Seraphin,PF,27.0,IND,49.0,3.0,559.0,14.4,0.559,0.01,0.111,8.3,20.0,14.3,6.7,0.6,3.1,12.3,19.0,,0.4,0.6,1.0,0.082,,-3.1,-0.6,-3.7,-0.2,109.0,198.0,0.551,0.0,2.0,0.0,109.0,196.0,0.556,0.551,14.0,22.0,0.636,41.0,101.0,142.0,23.0,7.0,20.0,29.0,66.0,232.0
487,2017.0,Ramon Sessions,PG,30.0,CHO,50.0,1.0,811.0,12.3,0.495,0.236,0.449,1.5,8.5,4.9,24.2,1.6,0.3,12.7,20.1,,0.3,0.6,0.9,0.054,,-2.4,-2.3,-4.8,-0.6,100.0,263.0,0.38,21.0,62.0,0.339,79.0,201.0,0.393,0.42,91.0,118.0,0.771,11.0,62.0,73.0,129.0,26.0,3.0,46.0,43.0,312.0
488,2017.0,Iman Shumpert,SG,26.0,CLE,76.0,31.0,1937.0,9.0,0.536,0.534,0.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,13.9,,0.7,1.4,2.0,0.05,,-1.3,0.0,-1.3,0.3,201.0,489.0,0.411,94.0,261.0,0.36,107.0,228.0,0.469,0.507,71.0,90.0,0.789,39.0,180.0,219.0,109.0,62.0,27.0,78.0,150.0,567.0
